corridor_member_id,prior_loans_with_cu,loans_paid_in_full,ever_30_dpd_with_cu,months_since_last_cu_loan
price,4,1,false,15.2643
people,4,4,false,53.7797
necessary,3,0,false,62.2
station,2,1,false,70.363
kind,4,0,false,52.2327
budget,1,1,true,54.228
join,4,2,false,11.2501
citizen,5,2,false,60.7414
choose,1,1,false,11.5336
our,3,2,false,5.7573
per,1,0,false,1.0
pass,3,1,false,55.5014
son,3,1,false,1.0
yard,2,3,false,25.9938
black,7,3,false,1.0
wish,2,0,false,63.7804
born,1,1,false,34.539
order,3,1,false,35.1815
state,4,1,true,68.2579
blood,5,0,false,10.2928
stock,3,2,true,38.1031
feeling,4,1,false,44.0248
trip,3,3,false,62.387
north,1,1,true,2.083
up,2,2,false,36.2352
guy,3,1,false,21.7034
understand,2,2,false,44.9901
item,3,3,false,15.3234
everything,2,3,false,13.7929
identify,5,3,false,33.9739
real,2,3,false,1.0
mention,3,1,false,22.8284
owner,4,3,false,1.0
politics,4,2,false,49.0351
material,2,3,false,9.1487
always,3,0,true,56.2364
consider,4,1,false,51.338
fact,5,2,false,25.4096
interesting,3,2,false,17.5462
charge,3,3,false,51.7262
present,2,3,false,10.3248
politics,5,1,false,45.9501
responsibility,0,2,false,1.0
rule,2,1,false,14.3466
interest,1,4,false,32.2647
American,2,1,false,26.8833
individual,1,2,true,19.0863
visit,3,3,false,1.0
until,3,1,false,24.8362
glass,1,1,false,39.5327
rock,2,3,false,1.0
economy,3,2,false,36.8491
appear,3,2,false,20.9536
skill,3,5,false,19.8553
may,3,4,false,41.2858
wife,3,2,false,72.8025
exist,6,4,false,45.1615
watch,3,2,false,75.5912
hotel,3,2,false,7.99
again,4,0,false,51.9276
green,4,1,false,36.8042
television,3,1,false,27.072
student,2,2,false,1.0
floor,5,3,true,15.2369
foreign,3,1,false,1.0
fast,3,0,false,74.8475
threat,2,1,false,34.1841
million,3,0,false,7.9008
toward,6,1,false,14.6154
safe,4,3,false,20.5979
reveal,5,0,false,24.2049
billion,2,1,false,84.0
trouble,2,4,false,52.0345
drive,1,2,false,14.7659
center,1,2,false,31.2062
first,4,4,true,1.0
six,2,3,false,25.3456
level,4,2,false,37.5993
staff,3,4,false,25.7575
that,2,1,false,68.2157
full,5,2,false,17.8629
exist,4,2,false,9.2486
shoulder,4,1,false,67.7142
keep,5,0,false,55.3987
point,5,3,false,58.382
race,2,3,false,38.3723
behind,3,1,false,58.8363
cup,2,3,false,35.9733
letter,0,1,false,12.3086
development,3,1,false,56.7579
white,2,2,false,21.5975
than,3,4,false,8.7567
investment,1,1,false,28.8006
sit,5,0,false,1.0
memory,4,2,false,19.684
song,8,2,false,33.1995
name,4,1,false,52.7966
trip,3,2,false,1.0
hour,6,2,false,33.4373
tend,5,1,false,36.4147
arrive,4,2,false,40.8464
myself,0,2,true,84.0
strong,2,3,false,1.0
cold,1,1,false,43.197
attorney,2,0,false,50.7912
foreign,7,1,false,22.8543
security,1,2,true,3.9694
move,1,2,false,37.6012
international,2,1,false,61.4657
central,3,3,false,7.7166
statement,3,3,false,19.2151
today,1,2,false,31.1863
need,2,2,true,1.0
until,2,1,false,1.0
outside,3,2,false,1.7122
air,1,1,false,34.7968
consumer,2,2,true,48.2357
data,0,1,false,18.0484
type,4,1,false,8.4338
there,4,2,false,45.3983
deep,0,2,false,15.5354
third,1,0,true,57.0592
article,4,0,false,8.9358
enjoy,2,0,false,46.4622
alone,2,0,false,14.2427
loss,4,1,false,31.055
apply,2,2,false,59.8246
why,4,1,false,66.896
herself,3,2,false,28.2237
sea,3,0,false,10.6473
decide,5,3,false,24.8387
eye,2,2,false,19.6397
home,2,2,false,1.0
than,4,0,false,31.0171
majority,0,1,false,22.9039
mouth,7,2,false,8.7627
industry,1,3,false,74.1507
prove,2,2,false,31.0894
wind,0,0,false,14.178
candidate,2,2,true,1.1384
responsibility,1,4,true,26.7207
allow,1,1,false,17.089
effort,3,2,false,61.3786
hotel,1,2,false,1.4316
middle,2,1,false,36.4417
phone,1,1,true,48.966
like,0,5,false,65.9861
cost,1,3,false,15.2949
truth,4,1,false,17.734
matter,5,0,false,1.0
peace,5,1,true,18.4202
ok,1,0,false,36.3366
hard,3,3,false,26.1942
guy,3,1,false,3.1997
common,3,4,false,19.7787
third,2,2,false,1.0
wall,3,1,false,25.9165
evening,2,2,false,23.9259
smile,3,0,false,1.0
then,3,2,false,12.4307
risk,4,0,false,42.1477
believe,1,4,false,51.2169
feel,5,2,false,37.4197
ahead,5,2,false,49.0952
imagine,4,3,false,1.0
appear,3,3,false,9.9403
commercial,2,0,false,1.0
too,2,1,false,9.5463
owner,2,4,false,27.3005
state,1,2,false,82.469
difficult,3,1,false,39.2766
tough,2,2,true,83.4315
do,3,0,false,1.0
radio,3,1,false,1.0
down,3,2,false,44.4693
research,4,2,false,68.3242
design,1,0,true,7.7801
exist,4,3,false,14.5616
reach,1,4,false,2.7802
it,4,1,false,38.0674
must,6,2,true,1.0
again,3,0,false,1.0
treatment,3,3,true,30.811
statement,4,1,false,12.8651
speak,3,1,false,20.3906
rest,4,2,true,1.0
act,2,6,false,46.788
matter,3,2,false,11.1631
which,6,3,true,28.3082
cause,3,3,true,59.9329
radio,0,0,false,19.8564
consumer,4,2,true,1.0
plant,3,1,false,42.4028
suddenly,3,2,false,1.9011
across,2,2,false,58.6376
door,1,4,false,43.6549
entire,3,1,false,26.8908
political,3,0,false,35.745
support,2,3,false,55.3513
yes,1,2,false,12.6615
focus,3,2,false,84.0
seem,3,2,false,1.0
security,0,2,false,1.0
question,2,1,false,1.0
face,4,1,false,35.625
land,2,2,false,22.2295
want,3,1,false,9.771
however,3,2,false,15.7865
together,2,2,false,76.4086
happy,3,3,false,1.0
machine,3,2,true,84.0
entire,0,1,false,27.672
discover,2,2,false,23.6498
man,1,3,false,27.4636
five,4,3,false,6.8312
research,4,3,true,1.0
near,4,3,false,1.0
thank,3,3,false,39.7582
price,1,2,false,49.6884
industry,1,1,false,21.8415
pattern,2,1,true,15.1524
blue,2,2,false,44.0221
account,4,1,true,53.2507
much,3,1,false,1.7336
recognize,2,2,false,22.3537
threat,4,2,false,24.8379
those,2,3,false,63.4086
house,3,4,false,38.3482
option,4,3,true,68.0016
radio,2,1,false,84.0
phone,1,2,false,1.0
politics,3,1,false,45.9479
fear,2,1,false,6.9181
fire,2,0,false,34.1483
return,2,1,false,68.3091
box,3,1,false,26.286
meet,3,4,false,45.5084
attack,4,1,false,49.5831
great,4,2,false,58.3084
factor,2,1,false,63.0539
push,0,4,true,14.2117
garden,4,4,false,22.9462
training,3,1,false,18.1052
factor,2,2,false,18.5094
every,4,2,true,58.7004
reality,3,1,false,4.9217
seek,0,1,false,48.0035
wait,6,0,false,30.5814
reach,0,1,false,44.4905
fire,3,0,false,20.8947
cup,3,1,false,32.3664
citizen,1,1,false,46.5719
nation,2,1,false,51.1321
southern,3,2,false,30.0942
effect,1,2,false,1.0
we,4,3,false,27.2236
art,4,3,true,32.0753
support,3,1,false,6.9282
tough,2,3,true,16.6542
suffer,3,3,false,80.4025
take,4,2,false,55.8959
plan,1,0,false,39.883
international,2,2,false,1.0
recent,6,2,false,59.1948
front,2,3,false,1.0
responsibility,5,1,false,11.9199
challenge,3,2,false,39.6397
set,2,3,false,75.2136
agree,2,2,false,51.82
reality,6,2,true,1.0
modern,5,3,false,25.2503
find,4,1,false,49.1318
event,2,1,false,20.581
what,5,2,false,28.9559
kid,5,1,false,1.0
interview,2,0,true,68.0614
important,6,4,false,1.0
since,2,0,false,47.9533
also,3,1,false,61.9382
past,3,2,true,32.0452
section,1,0,false,34.2943
owner,2,3,false,1.0
team,1,3,true,31.5006
customer,1,3,false,35.2305
gun,0,0,false,7.9054
she,0,2,false,48.2242
sell,3,1,false,37.5019
doctor,5,1,false,1.0
rich,4,0,false,30.4587
nor,5,2,false,16.5705
pull,1,2,false,23.7134
still,3,0,false,20.359
maybe,5,2,false,57.2802
what,5,3,false,23.1937
yeah,5,2,false,25.327
remain,2,2,false,26.614
her,4,1,false,67.9387
movement,4,1,true,33.57
first,6,1,true,48.0375
through,2,3,false,32.3668
conference,3,2,false,28.3207
though,7,3,false,49.2477
really,2,1,true,5.4302
under,2,2,false,48.0991
open,2,2,false,59.2579
course,0,1,false,1.0
finally,2,0,false,29.6623
bill,4,1,false,55.5868
market,2,3,false,21.7105
career,2,2,false,53.72
sit,1,3,false,1.0
evening,3,0,false,4.5989
share,0,1,false,53.2085
system,4,3,false,50.2488
operation,1,2,false,49.9347
source,2,3,false,22.4152
while,1,1,false,11.5805
cover,3,2,false,1.5624
your,4,0,false,37.3844
response,6,2,false,1.0
we,4,1,false,1.0
government,3,3,false,37.8636
real,2,3,false,56.4912
behind,3,1,false,47.7557
doctor,6,2,false,15.643
hear,4,0,false,1.0
dog,2,2,false,80.5288
size,3,4,false,24.2274
try,2,1,false,12.8976
food,7,1,false,45.0252
kitchen,3,1,false,13.7965
story,6,3,false,39.2088
very,5,2,true,37.7093
glass,6,1,false,1.0
hot,7,2,false,56.0725
ever,6,3,false,55.0852
pay,5,1,false,30.0787
financial,2,1,false,60.7017
major,1,2,false,1.4131
today,4,1,false,20.0042
buy,3,1,false,6.768
many,4,1,false,29.6976
argue,0,2,false,23.332
trial,4,2,true,71.606
protect,6,2,false,8.2915
past,4,2,false,75.0552
partner,1,2,false,50.5281
yet,2,4,false,35.0046
pressure,1,1,false,1.0
avoid,3,1,false,15.912
marriage,1,1,false,45.0159
visit,4,1,false,28.8706
day,3,3,false,58.9121
month,2,0,false,1.9824
call,2,0,false,22.6116
trip,5,3,false,18.2844
responsibility,2,3,false,64.5192
I,4,1,false,29.4978
next,5,2,false,72.5134
fire,4,3,false,84.0
job,3,3,false,31.2745
arm,2,3,false,84.0
truth,4,2,false,49.3915
too,4,2,false,15.5113
city,0,2,false,1.0
certain,4,1,false,17.1399
deep,0,3,false,8.8947
guess,2,2,false,10.1996
it,2,2,false,36.4279
over,1,1,false,31.6531
walk,2,0,false,42.245
what,4,0,true,36.349
lot,6,3,false,43.7749
character,3,2,false,23.4866
four,5,1,false,15.892
travel,3,1,false,9.8539
senior,4,4,false,1.0
couple,5,3,false,10.2706
start,4,3,false,16.4299
be,6,1,true,5.0304
method,2,1,false,45.7541
go,2,1,false,32.705
program,1,1,false,17.58
cost,2,3,false,3.7906
form,4,1,false,80.1185
protect,2,3,false,2.7093
article,5,2,false,33.2587
above,4,3,false,9.7653
live,0,1,false,37.3548
eye,2,3,false,16.2253
determine,2,1,false,37.6986
sort,6,1,false,1.3522
staff,2,2,false,27.6822
concern,3,1,false,15.8721
part,2,2,false,56.7762
south,5,2,false,14.0436
cold,5,3,false,58.4126
might,5,1,false,25.9258
stock,2,1,false,2.1816
source,2,3,true,24.9224
state,2,3,false,48.4145
behavior,1,3,false,40.8659
carry,2,2,false,49.9982
possible,2,0,false,45.8536
leader,2,4,true,17.4679
property,1,1,false,75.4757
laugh,4,0,false,6.7794
international,6,2,false,17.851
laugh,0,3,true,14.1189
me,5,0,true,47.8093
identify,2,2,false,47.5542
above,2,1,false,1.0
always,1,1,false,66.7351
none,4,1,false,21.5468
decision,1,1,false,45.5011
side,3,3,true,29.7684
hour,0,2,false,1.0
address,2,1,false,3.8
wait,3,3,false,38.4685
fund,5,1,false,18.5866
sometimes,4,2,false,40.0108
these,3,2,false,61.2307
nice,0,2,false,84.0
cut,1,2,false,44.1845
affect,2,2,false,25.2147
require,4,4,false,47.7213
above,2,2,true,53.6145
produce,1,0,false,28.1659
similar,3,1,false,11.2935
energy,2,1,false,24.2298
draw,1,1,false,16.4585
rule,0,3,false,27.8384
understand,4,2,false,5.7806
guy,1,0,false,26.244
forget,5,1,false,32.8858
carry,3,2,false,1.0
board,0,1,true,38.0267
identify,3,1,false,11.3063
most,2,1,false,39.4811
per,2,0,true,35.9984
follow,3,0,false,10.5168
computer,5,1,false,3.6779
attention,6,2,false,65.8481
than,4,1,false,28.2889
answer,3,2,false,21.1885
fire,0,4,false,1.0
fill,2,2,false,6.0448
lose,4,2,true,58.7656
should,1,3,false,38.9351
nature,2,1,false,1.0
pick,1,1,false,47.9211
need,3,2,false,1.0
green,2,1,false,38.92
leader,1,3,false,26.6901
view,2,0,false,1.0
right,3,1,false,32.1679
center,1,1,false,18.5196
guess,3,2,false,36.1802
week,3,2,true,27.4704
might,2,3,false,19.9184
her,4,3,false,1.0
social,0,1,false,29.2235
cup,3,0,false,41.0221
community,2,1,false,35.6594
yourself,3,1,false,37.1319
what,1,4,false,43.1338
why,6,2,false,63.2684
task,3,1,false,1.1924
international,0,2,false,77.0195
after,4,2,true,28.0737
drive,2,2,false,46.8225
door,5,1,false,42.9855
short,3,0,false,23.5164
catch,6,5,false,29.6064
development,4,2,false,1.0
similar,4,2,false,28.2815
age,2,1,false,1.0
perform,2,2,false,24.4963
mother,2,2,true,22.2275
condition,2,3,false,39.5862
candidate,4,3,false,59.6099
hit,4,4,true,18.5226
seek,6,4,true,58.0524
rather,6,2,false,11.208
structure,3,2,false,18.3126
always,5,2,false,52.1362
how,1,2,false,84.0
under,3,2,false,1.0
push,5,2,false,1.0
especially,3,2,false,37.437
spend,2,2,false,17.8296
nor,4,0,false,36.8068
price,2,3,false,63.7903
anything,3,2,false,45.8929
phone,2,1,false,69.2233
anything,4,2,false,75.4117
recently,2,2,false,45.338
box,3,3,false,9.1282
ready,4,1,false,84.0
think,4,3,false,73.0001
again,2,1,false,76.8181
anything,2,2,false,57.3533
road,3,1,false,43.502
business,2,2,false,45.7799
keep,4,2,false,11.7489
life,3,1,false,21.0905
husband,3,4,false,25.1056
candidate,1,0,true,84.0
officer,2,3,false,25.6683
entire,5,1,false,30.7064
matter,1,1,false,41.4532
science,1,3,false,43.7777
claim,3,3,false,46.9305
describe,3,3,false,29.0569
run,3,1,false,1.0
rich,3,2,false,45.7021
professor,4,2,false,1.0
act,2,2,false,17.187
fish,5,1,false,14.2717
kitchen,5,2,false,1.0
recently,1,3,false,13.9116
blood,2,0,false,74.4336
recognize,0,3,false,13.787
nature,3,2,false,77.876
expect,2,2,false,28.9549
prevent,3,0,false,1.0
police,2,1,false,84.0
school,3,1,false,42.1856
certain,3,2,false,6.4783
kid,3,1,false,17.5246
then,2,1,false,44.9322
way,4,3,false,66.1502
book,2,3,false,37.9817
much,2,1,false,46.5433
serve,3,2,false,9.0457
prepare,4,3,false,57.8215
buy,2,0,false,9.4942
fear,2,0,false,44.4983
build,3,2,false,1.0
still,5,1,false,65.0632
born,2,1,false,1.0
modern,1,3,true,73.9871
decide,5,0,false,5.1126
politics,1,2,false,1.0
decision,5,1,false,25.8856
star,4,4,false,1.0
everyone,5,2,false,28.012
theory,5,2,false,58.7166
necessary,3,0,false,40.3958
defense,3,5,false,41.9154
help,3,2,true,30.6081
score,4,3,false,10.2279
it,5,2,true,23.1276
find,0,0,false,22.4145
college,0,1,false,53.4713
among,3,2,false,44.0772
official,5,3,false,47.1473
model,6,2,false,2.7998
whether,2,3,true,68.822
despite,4,2,false,14.8515
rise,4,1,false,60.0185
worker,2,0,false,1.7672
medical,4,1,false,1.0
give,1,3,false,80.2312
easy,1,3,false,24.0535
able,4,0,true,58.2317
add,2,2,false,37.3816
remain,1,0,false,50.3196
behind,1,1,false,24.2546
what,3,0,false,20.2923
bring,1,3,true,84.0
thing,2,0,false,28.9292
painting,2,1,false,15.6221
relationship,3,0,false,1.0
minute,4,2,false,52.3175
church,5,2,false,34.5837
believe,4,2,false,1.0
state,2,4,false,65.6185
much,4,0,false,8.0717
bad,3,0,false,21.8996
several,2,1,false,36.4034
several,5,2,false,67.5068
blood,3,1,false,1.0
west,0,1,false,14.4866
establish,0,3,false,52.2484
quickly,1,2,true,8.1513
during,3,0,false,17.8711
loss,4,0,false,21.1612
fine,3,1,false,12.6493
everything,2,2,true,35.3453
majority,3,2,false,43.5082
apply,4,0,false,1.0
black,4,3,false,51.155
tax,3,1,true,39.4715
contain,3,2,false,1.0
two,4,2,false,18.9443
among,1,0,false,76.6163
together,3,2,false,50.796
fill,4,3,false,26.2302
here,4,2,false,9.5612
suddenly,4,3,true,36.8254
research,4,2,false,11.4951
form,2,1,true,36.2477
last,4,2,false,1.0
single,2,3,true,60.479
business,1,1,false,11.4614
beyond,0,1,false,42.7404
today,2,2,false,28.814
son,1,3,false,1.0
voice,2,2,true,1.0
answer,2,1,false,29.2796
act,2,3,false,55.9135
together,3,1,false,16.7595
certainly,0,2,false,41.5754
record,4,0,false,1.0
radio,4,1,false,16.5452
conference,0,2,false,55.0494
get,3,4,false,4.2287
help,3,5,false,29.5584
wall,1,0,false,12.9249
left,2,3,false,66.2325
pretty,5,1,false,28.2578
executive,4,3,false,71.6556
unit,0,2,false,7.8188
significant,2,2,false,57.0588
better,2,3,false,49.3628
hotel,1,3,false,57.7169
teacher,3,0,false,10.3075
guess,3,1,false,51.5303
cover,1,1,false,20.9792
build,4,4,false,7.374
institution,0,2,false,73.0224
instead,4,2,false,22.3484
loss,3,2,false,13.3742
expert,4,1,false,6.8382
thing,1,1,true,8.6562
image,6,0,false,65.3797
road,4,2,false,72.809
today,3,0,false,22.3929
mean,4,2,false,2.7683
such,6,2,false,67.4909
know,5,1,true,21.4564
range,2,2,false,59.0788
various,0,1,false,41.5362
subject,4,1,false,24.8248
compare,4,2,false,56.1612
budget,1,2,false,33.6798
cause,3,1,false,25.2889
safe,3,3,false,6.5986
she,3,1,false,16.2694
artist,6,0,false,1.0
yes,0,2,false,1.0
three,3,1,false,60.1642
collection,1,2,true,27.6994
body,2,0,true,29.6495
keep,3,2,false,1.0
which,1,2,false,4.4917
performance,2,0,false,68.4371
meeting,3,1,false,32.3538
suffer,1,5,false,1.0
outside,3,2,false,84.0
resource,8,1,false,46.9239
left,4,1,true,21.9888
course,4,6,false,28.6584
popular,8,1,true,8.3596
hundred,3,0,false,38.9439
start,2,2,false,51.5473
her,4,2,false,1.0
population,4,3,false,1.0
air,2,2,false,1.0
travel,1,0,false,11.8761
return,1,3,false,37.1077
up,3,2,false,50.6364
this,3,2,true,43.4928
short,1,1,false,61.3338
wait,1,0,false,9.6227
case,2,2,true,58.5969
meeting,5,2,false,15.707
wife,0,2,false,9.6578
method,3,2,false,15.0916
budget,0,2,false,30.08
very,3,0,false,42.7711
its,1,3,false,39.3545
let,2,2,false,22.7366
any,2,2,true,18.3793
at,6,2,false,84.0
every,2,1,true,15.0093
real,4,2,true,48.8522
former,2,0,false,44.1163
actually,3,1,true,34.7005
sea,4,0,false,55.2991
trouble,1,1,false,43.6109
resource,2,1,false,10.4425
network,3,2,false,53.7338
speak,2,0,false,80.1824
six,2,2,false,4.8866
part,2,3,false,26.69
shake,3,3,false,43.3655
other,4,1,false,33.2213
door,3,1,false,1.0
relationship,1,3,false,45.2087
TV,3,4,false,83.4811
ground,1,1,false,42.9548
natural,2,2,false,28.2595
necessary,2,1,false,17.8607
rise,4,1,false,56.726
school,4,1,false,23.7051
present,2,0,false,52.3489
beyond,3,3,false,37.9027
lead,1,2,false,69.1961
recently,5,3,false,30.1473
short,2,1,false,45.5969
energy,1,2,false,31.9583
meet,0,2,false,23.811
half,2,2,false,30.2261
record,4,3,false,69.9315
require,3,2,false,69.4412
put,5,1,false,61.9932
image,4,3,false,79.7099
church,3,1,false,1.0
those,2,2,false,1.0
the,3,1,false,9.8342
open,4,1,false,25.4057
wait,3,2,false,29.8429
position,4,2,false,60.7674
arm,2,2,false,25.5883
activity,2,2,false,49.5152
question,1,3,false,6.2405
world,4,5,false,11.4419
close,3,2,false,70.0774
mouth,0,1,false,70.8276
time,4,0,false,1.0
manager,6,1,false,42.6726
together,0,3,false,36.6706
mission,2,1,false,48.3742
true,5,1,false,6.3127
company,1,1,false,11.343
bad,3,2,false,46.6949
society,5,1,false,17.0537
million,2,2,false,28.5009
full,2,2,true,33.6841
effect,1,1,false,1.0
give,1,4,false,48.3927
fall,4,2,false,37.8531
apply,3,1,false,58.3769
movement,5,1,false,25.6402
dog,2,0,false,22.9451
oil,2,0,false,41.123
question,5,2,false,1.0
human,1,2,false,15.711
interesting,4,2,false,28.6016
technology,5,2,false,1.5965
easy,3,2,false,66.0564
bar,4,1,false,23.1934
machine,3,1,false,34.6398
life,3,1,true,51.5738
suddenly,5,1,false,40.1652
page,3,2,false,44.4955
line,4,1,false,21.1852
behavior,1,0,false,72.368
tough,2,1,false,1.0
moment,3,1,false,66.0001
likely,0,1,false,48.6014
four,2,1,false,44.1066
by,2,2,true,19.5787
modern,3,0,false,20.6643
skill,7,2,false,56.3899
ready,1,0,false,13.6612
affect,2,2,false,1.0
board,2,3,false,55.6436
international,4,3,false,11.5464
itself,3,1,true,44.5604
also,2,2,false,4.4628
onto,4,0,false,22.947
often,2,2,true,1.0
a,3,2,true,19.6262
that,4,1,false,32.6096
benefit,5,4,false,27.5206
strong,5,0,true,1.0
PM,3,2,false,59.9601
present,3,3,false,1.0
public,4,2,false,1.0
fly,2,0,false,5.0992
voice,1,2,false,7.4215
movie,2,4,false,49.8821
or,2,3,false,17.5787
design,2,1,false,1.0
real,2,3,false,48.5335
remain,3,3,false,34.278
loss,0,2,false,37.4187
growth,1,1,false,54.7099
himself,2,2,false,38.6048
that,2,2,false,39.4059
arm,4,2,false,4.8189
technology,4,2,false,1.0
dog,1,0,false,34.6096
three,7,4,false,1.0
look,0,2,false,46.491
glass,2,2,false,4.9838
opportunity,4,1,false,7.9499
speak,3,0,false,23.4361
president,6,1,false,43.7912
plan,4,3,false,19.2287
material,2,1,false,51.0631
sense,0,2,false,1.0
realize,4,0,false,1.0
himself,3,2,false,34.0903
sense,3,0,false,1.0
local,2,0,false,50.1847
build,5,2,false,25.6804
bill,1,3,false,29.7464
song,3,0,false,1.0
reason,2,2,false,15.1595
doctor,2,1,false,46.6933
able,3,2,false,25.0972
growth,2,2,false,35.1408
hear,2,0,false,31.7179
themselves,2,3,false,55.1148
property,3,2,false,10.7963
such,4,1,false,17.4661
film,2,1,false,1.0
officer,0,1,false,1.0
nearly,2,1,false,69.2779
hour,4,2,false,46.927
science,6,0,false,11.0121
born,4,1,false,4.1727
answer,3,1,false,19.6072
watch,5,1,false,39.605
community,4,3,false,52.7392
mind,3,2,false,1.0
challenge,3,3,false,58.0621
term,0,4,false,1.0
series,4,1,false,26.7301
situation,5,4,false,1.0
set,1,0,false,18.7759
it,5,0,false,33.0312
both,4,2,false,62.0547
environmental,1,2,true,45.7324
popular,1,2,false,60.3376
deal,3,1,false,54.5288
cup,3,2,false,48.8094
camera,3,1,false,1.0
wonder,3,2,false,64.3523
together,2,2,false,84.0
increase,1,0,false,30.6535
dinner,0,0,true,30.3741
lot,4,3,false,1.0
thank,3,2,false,45.3495
station,0,1,false,1.0
cut,2,2,true,20.7077
sense,3,1,false,20.5154
ground,1,2,false,38.6402
box,4,0,false,73.876
sometimes,2,3,false,53.8461
join,2,2,false,51.0603
any,0,1,false,84.0
with,3,5,true,12.3841
property,3,3,false,1.0
third,0,0,false,1.0
remember,4,3,false,39.4913
per,6,4,false,1.0
candidate,1,3,false,22.7737
sport,2,2,false,56.7624
wait,3,2,false,50.9161
little,7,2,false,29.6
lot,2,2,false,19.5432
reason,4,2,false,28.7847
perform,2,2,false,30.1399
mother,5,2,false,32.6194
center,0,1,false,37.6319
moment,1,2,true,16.2171
above,2,1,false,1.0
nice,4,2,false,54.4958
simply,1,2,false,47.0689
anything,3,1,false,72.566
on,2,0,false,6.2601
worry,3,3,false,2.2708
lead,2,2,false,54.3239
this,2,2,false,13.4017
pay,8,3,false,1.0
meeting,5,3,true,35.1509
window,3,2,false,26.2093
movie,1,0,false,68.7167
statement,1,3,false,15.4125
will,3,1,false,1.0
whether,2,1,false,51.5447
cost,0,1,true,16.4706
role,5,2,false,41.9789
particular,3,4,true,25.5519
consumer,3,2,false,47.1651
side,3,1,false,7.9273
teacher,3,1,false,4.6718
career,4,0,true,18.2779
body,4,3,false,38.0344
impact,5,2,false,33.2199
really,1,4,false,52.3059
plan,2,1,false,2.4143
police,2,3,false,37.9832
us,5,4,false,57.3029
fund,3,2,false,26.8158
mother,2,0,false,44.9178
upon,0,0,false,1.0
if,1,0,false,1.0
kid,0,1,false,58.8949
politics,3,2,false,1.0
whole,3,3,false,1.0
room,4,4,false,28.9584
sound,2,1,false,1.0
energy,6,2,false,30.4395
eye,2,2,false,71.8508
information,2,2,false,45.3175
gun,4,0,false,24.8846
financial,4,2,false,13.7553
local,2,2,false,11.8369
support,2,3,false,61.7162
cell,2,2,false,37.941
certainly,5,3,false,46.7309
itself,3,1,false,18.666
play,4,2,false,45.6148
scene,4,1,false,39.1841
various,5,1,false,1.0
smile,3,3,false,46.9692
music,1,2,false,36.7234
firm,0,2,false,28.7718
threat,5,3,false,40.5242
science,3,3,false,18.6672
officer,3,2,false,79.4878
traditional,1,1,false,22.1835
former,3,2,false,53.893
seek,5,3,false,40.2692
since,5,2,false,30.9595
worry,3,1,false,10.5865
on,4,5,true,22.5373
project,1,1,false,65.263
director,0,1,true,57.5126
deep,6,4,false,4.3489
determine,3,1,false,32.8565
probably,1,3,false,57.1691
send,2,1,false,30.7154
fill,4,0,false,62.9613
right,3,4,false,30.9594
hair,2,1,false,1.0
will,2,2,false,43.1204
remember,5,0,false,81.2846
cause,6,0,false,24.9564
see,2,1,false,67.1017
rate,2,3,false,33.5489
could,4,3,false,1.0
most,2,1,false,4.3358
occur,4,1,false,54.6003
rule,1,4,false,53.8382
public,3,4,false,44.7665
future,3,0,false,26.1573
see,3,0,false,1.0
business,6,3,false,1.0
sort,2,1,false,14.3402
he,2,1,false,54.3017
or,4,1,false,1.0
media,2,4,false,29.1447
pass,2,1,false,1.0
own,3,2,false,14.6169
yes,7,1,false,10.5383
region,2,1,false,26.3199
see,3,2,false,39.1729
key,2,2,false,16.0356
represent,2,1,false,44.692
small,2,1,false,23.9336
wall,2,1,false,72.9421
thought,3,1,false,8.7979
none,4,2,false,39.1408
feeling,4,3,true,41.7853
understand,2,3,false,59.3439
throw,2,3,false,69.226
knowledge,3,0,false,1.0
system,6,3,false,28.3277
add,3,1,false,37.829
necessary,4,2,false,1.1314
both,1,2,true,29.2748
ago,2,1,true,1.0
I,1,1,false,1.0
check,0,2,false,22.1136
argue,5,0,false,40.2871
religious,3,0,false,13.6764
arrive,4,2,false,73.7476
decision,4,0,false,56.7495
example,1,0,false,23.1824
social,0,1,false,46.4721
stock,1,2,false,37.9225
college,3,1,false,71.1658
few,1,2,false,43.8309
result,5,2,false,37.4529
enough,1,2,false,21.2404
child,0,1,false,24.951
those,0,1,true,44.2063
assume,4,2,false,27.1217
rock,2,2,false,30.1518
still,5,2,false,4.148
find,6,3,false,15.7401
Democrat,2,2,false,15.5497
some,3,3,false,13.078
number,5,2,false,5.0179
alone,3,0,false,20.3847
her,4,1,false,24.2556
teach,1,1,false,26.187
local,4,2,false,79.0351
blue,2,3,false,1.0
power,3,1,false,27.0136
trip,2,3,false,4.288
Republican,4,3,false,28.5704
sister,3,1,false,38.1096
or,2,4,false,19.3335
treatment,5,1,false,2.4175
door,1,2,false,17.1517
situation,1,1,false,55.7888
radio,2,0,false,48.7443
option,6,1,false,14.4656
improve,6,3,false,8.6779
economy,2,1,true,74.5809
much,1,2,false,37.0833
still,1,2,false,23.528
style,1,2,false,1.0
success,2,0,false,5.1157
safe,0,3,false,42.6431
field,3,2,false,44.4334
room,5,2,false,27.1863
red,5,4,true,38.9876
anyone,4,2,false,37.2406
with,2,1,false,22.9371
I,5,2,false,17.2548
impact,5,0,false,27.1422
keep,1,3,false,42.2544
story,2,2,false,40.8978
reveal,2,3,false,78.7549
form,0,1,false,1.0
old,2,0,false,33.0797
arm,3,1,false,12.2076
add,1,0,false,39.5869
six,2,2,false,29.3981
